[13:37:00:000] [LOG] (Deobfuscator) Deobfuscating client...
[13:37:00:001] [LOG] function \x1e\x15\x06 > ScreenResolution
[13:37:00:001] [LOG] function \x0f\x19 > ExternalConnectorListerner
[13:37:00:002] [LOG] function \x0d\x13 > InteractionHandler
[13:37:00:002] [LOG] function \x1e\x0b\x0c > ZoneHandler
[13:37:00:002] [LOG] function \x1e\x0c\x09 > VisualEffectHandler
[13:37:00:002] [LOG] object \x1e\x0c\x10 > utils
[13:37:00:002] [LOG] function \x1e\x18\x0f > Pathfinding
[13:37:00:002] [LOG] function \x1e\x10\x0d > SpriteDepthFinder
[13:37:00:002] [LOG] function \x13\x0c > Compressor
[13:37:00:002] [LOG] function \x1e\x18\x02 > PointerHandler
[13:37:00:003] [LOG] function \x1e\x10\x0c > SpriteHandler
[13:37:00:003] [LOG] function \x0e\x17 > GlobalSpriteHandler
[13:37:00:003] [LOG] function \x1e\x0d\x10 > TextHandler
[13:37:00:003] [LOG] function \x1e\x18\x01 > PointsHandler
[13:37:00:003] [LOG] function \x1e\x18\x19 > OverHeadHandler
[13:37:00:003] [LOG] function \x0e\x14 > GridHandler
[13:37:00:003] [LOG] function \x1c\x11 > Battlefield
[13:37:00:004] [LOG] function \x13\x02 > Constants
[13:37:00:004] [LOG] function \x1e\x14\x12 > SelectionHandler
[13:37:00:004] [LOG] function \x15\x05 > BubbleThink
[13:37:00:004] [LOG] function \x1e\x10\x0f > Sprite
[13:37:00:004] [LOG] function \x0d\x12 > InteractiveObject
[13:37:00:004] [LOG] function \x14\x07 > Cell
[13:37:00:005] [LOG] function \x15\x06 > Bubble
[13:37:00:005] [LOG] function \x0c\x07 > MapHandler
[13:37:00:006] [LOG] function \x14\x07 > Cell
[13:37:00:006] [LOG] function \x1e\x0c\x0a > VisualEffect
[13:37:00:006] [LOG] function \x1e\x10\x0f > Sprite
[13:37:00:006] [LOG] function \x0e\x1a > Gapi
[13:37:00:007] [LOG] object \x1e\x15\x03 > scrollbar
[13:37:00:008] [LOG] function \x1e\x15\x02 > ScrollThumb
[13:37:00:009] [LOG] object \x13\x0f > common
[13:37:00:011] [LOG] function \x1e\x0e\x10 > StylesManager
[13:37:00:011] [LOG] function \x12\x05 > DefaultStylePackage
[13:37:00:011] [LOG] function \x1e\x0c\x16 > UIAdvancedComponent
[13:37:00:011] [LOG] function \x1e\x0c\x15 > UIBasicComponent
